"Column_Names"
"time"
"uni"
"group"
"employment"
"days_office"
"work_facilities"
"work_waste_knowledge"
"home_waste_knowledge"
"home_generate_alu"
"home_generate_pet"
"home_generate_glass"
"home_generate_cardboard"
"home_generate_paper"
"home_generate_plastic"
"home_generate_electric"
"home_generate_organic"
"home_generate_general"
"work_generate_alu"
"work_generate_pet"
"work_generate_glass"
"work_generate_cardboard"
"work_generate_paper"
"work_generate_plastic"
"work_generate_electric"
"work_generate_organic"
"work_generate_general"
"home_recycle_alu"
"home_recycle_pet"
"home_recycle_glass"
"home_recycle_cardboard"
"home_recycle_paper"
"home_recycle_plastic"
"home_recycle_electric"
"home_recycle_organic"
"work_recycle_alu"
"work_recycle_pet"
"work_recycle_glass"
"work_recycle_cardboard"
"work_recycle_paper"
"work_recycle_plastic"
"work_recycle_electric"
"work_recycle_organic"
"gen_more_home"
"gen_more_home_why"
"gen_more_work_why"
"recycle_more_home"
"recycle_less_work_why"
"recycle_less_home_why"
"comments"
"work_dist_alu"
"work_dist_pet"
"work_dist_glass"
"work_dist_cardboard"
"work_dist_paper"
"work_dist_plastic"
"work_dist_electric"
"work_dist_organic"
"work_dist_general"
"work_facility_code"
